Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 21:37:36.899,114377.1,0.001,BTCUSDT
2025-09-30 21:37:36.899,114377.2,0.002,BTCUSDT
2025-09-30 21:37:36.912,114378.1,0.002,BTCUSDT
2025-09-30 21:37:36.912,114378.1,0.009,BTCUSDT
2025-09-30 21:37:36.912,114378.1,0.003,BTCUSDT
2025-09-30 21:37:36.957,114378.0,0.003,BTCUSDT
2025-09-30 21:37:36.974,114378.1,0.019,BTCUSDT
2025-09-30 21:37:37.086,114378.1,0.001,BTCUSDT
2025-09-30 21:37:37.378,114378.1,0.075,BTCUSDT
2025-09-30 21:37:37.438,114378.1,0.001,BTCUSDT
2025-09-30 21:37:37.438,114378.1,0.003,BTCUSDT
2025-09-30 21:37:37.438,114378.1,0.174,BTCUSDT
2025-09-30 21:37:37.438,114378.1,0.001,BTCUSDT
2025-09-30 21:37:37.438,114378.1,0.074,BTCUSDT
2025-09-30 21:37:37.438,114378.1,0.002,BTCUSDT
2025-09-30 21:37:37.438,114378.1,0.002,BTCUSDT
2025-09-30 21:37:37.438,114378.1,0.176,BTCUSDT
2025-09-30 21:37:37.506,114378.0,0.001,BTCUSDT
2025-09-30 21:37:37.558,114378.1,0.001,BTCUSDT
2025-09-30 21:37:37.682,114378.1,0.001,BTCUSDT
2025-09-30 21:37:37.682,114378.1,0.001,BTCUSDT
2025-09-30 21:37:37.682,114378.1,0.047,BTCUSDT
2025-09-30 21:37:37.685,114378.1,0.011,BTCUSDT
2025-09-30 21:37:37.685,114378.1,0.015,BTCUSDT
2025-09-30 21:37:37.685,114378.1,0.002,BTCUSDT
2025-09-30 21:37:37.685,114378.1,0.002,BTCUSDT
2025-09-30 21:37:37.685,114378.1,0.001,BTCUSDT
2025-09-30 21:37:37.685,114378.2,0.001,BTCUSDT
2025-09-30 21:37:37.685,114378.2,0.001,BTCUSDT
2025-09-30 21:37:37.685,114378.7,0.002,BTCUSDT
2025-09-30 21:37:37.685,114379.4,0.001,BTCUSDT
2025-09-30 21:37:37.685,114379.4,0.001,BTCUSDT
2025-09-30 21:37:37.685,114379.5,0.002,BTCUSDT
2025-09-30 21:37:37.685,114380.0,0.001,BTCUSDT
2025-09-30 21:37:37.685,114380.3,0.002,BTCUSDT
2025-09-30 21:37:37.688,114380.5,0.001,BTCUSDT
2025-09-30 21:37:37.688,114380.5,0.062,BTCUSDT
2025-09-30 21:37:37.688,114380.5,0.001,BTCUSDT
2025-09-30 21:37:37.688,114380.5,0.002,BTCUSDT
2025-09-30 21:37:37.888,114380.4,0.005,BTCUSDT
2025-09-30 21:37:38.085,114380.4,0.002,BTCUSDT
2025-09-30 21:37:38.101,114380.4,0.001,BTCUSDT
2025-09-30 21:37:38.157,114380.5,0.009,BTCUSDT
2025-09-30 21:37:38.157,114380.5,0.174,BTCUSDT
2025-09-30 21:37:38.157,114380.5,0.029,BTCUSDT
2025-09-30 21:37:38.157,114380.5,0.145,BTCUSDT
2025-09-30 21:37:38.157,114380.5,0.002,BTCUSDT
2025-09-30 21:37:38.157,114380.5,0.002,BTCUSDT
2025-09-30 21:37:38.157,114380.5,0.001,BTCUSDT
2025-09-30 21:37:38.157,114380.6,0.001,BTCUSDT
2025-09-30 21:37:38.157,114380.6,0.001,BTCUSDT
2025-09-30 21:37:38.157,114380.7,0.001,BTCUSDT
2025-09-30 21:37:38.157,114381.3,0.002,BTCUSDT
